job_id,title,company_name,location,description,max_salary,formatted_experience_level,work_type,remote_allowed,original_listed_time
sample_00121,Data Analyst,Zepto,"Bengaluru, Karnataka","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",8-14 LPA,Senior,FULL_TIME,1,2026-02-26
sample_00122,Data Engineer,Razorpay,"Noida, Uttar Pradesh","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Mid-Senior level,CONTRACT,1,2026-05-08
sample_00123,Business Analyst,Infosys,"Gurugram, Haryana","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Director,CONTRACT,1,2026-03-10
sample_00124,BI Developer,Flipkart,"Pune, Maharashtra","We need a BI Developer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",12-20 LPA,Mid-Senior level,FULL_TIME,1,2026-01-20
sample_00125,Product Analyst,PhonePe,"Hyderabad, Telangana","We are looking for a Product Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Director,CONTRACT,0,2026-01-25
sample_00126,BI Developer,PhonePe,"Bengaluru, Karnataka","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",25-40 LPA,Mid-Senior level,CONTRACT,1,2026-04-17
sample_00127,BI Developer,Accenture,"Delhi, Delhi","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Entry level,PART_TIME,1,2026-04-04
sample_00128,Business Analyst,Swiggy,"Bengaluru, Karnataka","Exciting Business Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Entry level,FULL_TIME,0,2025-12-21
sample_00129,Senior Data Analyst,TCS,"Bengaluru, Karnataka","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Entry level,FULL_TIME,1,2026-05-18
sample_00130,Analytics Engineer,TCS,"Gurugram, Haryana","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Director,PART_TIME,1,2026-02-01
sample_00131,Business Analyst,TCS,"Mumbai, Maharashtra","Seeking a Business Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Entry level,PART_TIME,0,2026-06-04
sample_00132,ML Engineer,Wipro,"Noida, Uttar Pradesh","We are looking for a ML Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Mid-Senior level,CONTRACT,1,2025-12-26
sample_00133,Senior Data Analyst,Meesho,"Chennai, Tamil Nadu","Join our analytics team as a Senior Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Director,PART_TIME,0,2026-03-27
sample_00134,Data Engineer,TCS,"Bengaluru, Karnataka","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Director,FULL_TIME,0,2026-01-14
sample_00135,Data Analyst,PhonePe,"Chennai, Tamil Nadu","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Senior,PART_TIME,1,2026-01-10
sample_00136,Data Scientist,Zepto,"Hyderabad, Telangana","Exciting Data Scientist role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Entry level,FULL_TIME,1,2026-02-14
sample_00137,BI Developer,Accenture,"Chennai, Tamil Nadu","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",12-20 LPA,Senior,CONTRACT,1,2026-01-12
sample_00138,Data Engineer,TCS,"Mumbai, Maharashtra","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Mid-Senior level,CONTRACT,1,2026-06-09
sample_00139,ML Engineer,PhonePe,"Pune, Maharashtra","We need a ML Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Senior,CONTRACT,1,2026-01-22
sample_00140,BI Developer,Zepto,"Pune, Maharashtra","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",8-14 LPA,Mid-Senior level,CONTRACT,0,2026-05-05
sample_00141,Data Engineer,Zepto,"Pune, Maharashtra","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Senior,CONTRACT,1,2026-01-01
sample_00142,Analytics Engineer,Meesho,"Chennai, Tamil Nadu","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Senior,PART_TIME,1,2026-01-16
sample_00143,Business Analyst,Razorpay,"Noida, Uttar Pradesh","We are looking for a Business Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Mid-Senior level,PART_TIME,1,2026-04-17
sample_00144,Analytics Engineer,Razorpay,"Pune, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Entry level,CONTRACT,1,2026-05-02
sample_00145,Data Engineer,Razorpay,"Hyderabad, Telangana","We need a Data Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Entry level,PART_TIME,1,2026-04-24
sample_00146,Data Engineer,Wipro,"Gurugram, Haryana","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Entry level,CONTRACT,1,2026-03-16
sample_00147,Business Analyst,PhonePe,"Chennai, Tamil Nadu","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Senior,FULL_TIME,1,2026-03-08
sample_00148,Product Analyst,Zepto,"Gurugram, Haryana","Exciting Product Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,CONTRACT,0,2026-06-08
sample_00149,Business Analyst,Accenture,"Delhi, Delhi","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Entry level,FULL_TIME,1,2026-03-30
sample_00150,Business Analyst,Razorpay,"Gurugram, Haryana","Exciting Business Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Senior,PART_TIME,0,2026-02-08
sample_00151,Senior Data Analyst,Swiggy,"Mumbai, Maharashtra","Seeking a Senior Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",8-14 LPA,Entry level,PART_TIME,0,2026-03-02
sample_00152,BI Developer,Razorpay,"Hyderabad, Telangana","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",8-14 LPA,Senior,FULL_TIME,0,2026-05-17
sample_00153,Senior Data Analyst,Zepto,"Noida, Uttar Pradesh","Seeking a Senior Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",8-14 LPA,Senior,FULL_TIME,1,2026-02-08
sample_00154,Analytics Engineer,Meesho,"Chennai, Tamil Nadu","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Entry level,CONTRACT,0,2026-01-03
sample_00155,Data Engineer,Wipro,"Bengaluru, Karnataka","Exciting Data Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Entry level,CONTRACT,0,2025-12-22
sample_00156,Analytics Engineer,Flipkart,"Noida, Uttar Pradesh","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Entry level,FULL_TIME,1,2026-01-05
sample_00157,Data Engineer,Wipro,"Delhi, Delhi","We need a Data Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",12-20 LPA,Director,PART_TIME,1,2026-05-22
sample_00158,Data Engineer,Swiggy,"Mumbai, Maharashtra","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Senior,CONTRACT,1,2026-06-12
sample_00159,Senior Data Analyst,TCS,"Hyderabad, Telangana","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",18-28 LPA,Mid-Senior level,CONTRACT,0,2026-02-23
sample_00160,BI Developer,Flipkart,"Pune, Maharashtra","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Mid-Senior level,CONTRACT,0,2026-02-08
sample_00161,Data Engineer,Meesho,"Chennai, Tamil Nadu","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Senior,PART_TIME,0,2025-12-27
sample_00162,Senior Data Analyst,Zepto,"Delhi, Delhi","Exciting Senior Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Entry level,PART_TIME,1,2026-03-18
sample_00163,Data Analyst,Meesho,"Noida, Uttar Pradesh","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Entry level,CONTRACT,0,2026-05-10
sample_00164,Data Scientist,PhonePe,"Delhi, Delhi","Join our analytics team as a Data Scientist. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Entry level,PART_TIME,0,2026-04-08
sample_00165,Business Analyst,Infosys,"Delhi, Delhi","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Director,CONTRACT,0,2026-04-29
sample_00166,Data Analyst,Razorpay,"Bengaluru, Karnataka","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Director,CONTRACT,0,2026-05-20
sample_00167,Data Engineer,Infosys,"Gurugram, Haryana","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Director,PART_TIME,0,2026-04-26
sample_00168,Business Analyst,Meesho,"Mumbai, Maharashtra","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",12-20 LPA,Director,PART_TIME,1,2026-03-19
sample_00169,Analytics Engineer,Accenture,"Hyderabad, Telangana","We are looking for a Analytics Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",8-14 LPA,Mid-Senior level,CONTRACT,0,2026-01-10
sample_00170,Data Analyst,Meesho,"Noida, Uttar Pradesh","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Director,PART_TIME,0,2025-12-16
sample_00171,Analytics Engineer,Swiggy,"Delhi, Delhi","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,FULL_TIME,1,2026-03-01
sample_00172,BI Developer,Razorpay,"Delhi, Delhi","Seeking a BI Developer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Senior,PART_TIME,0,2026-02-14
sample_00173,BI Developer,PhonePe,"Gurugram, Haryana","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Senior,CONTRACT,1,2026-01-12
sample_00174,Business Analyst,Flipkart,"Mumbai, Maharashtra","Exciting Business Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Director,CONTRACT,0,2026-03-31
sample_00175,BI Developer,TCS,"Chennai, Tamil Nadu","Seeking a BI Developer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Mid-Senior level,FULL_TIME,0,2026-05-08
sample_00176,Product Analyst,Flipkart,"Delhi, Delhi","Seeking a Product Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Entry level,FULL_TIME,0,2026-03-06
sample_00177,Data Scientist,Flipkart,"Gurugram, Haryana","We need a Data Scientist proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Senior,PART_TIME,0,2026-01-21
sample_00178,Senior Data Analyst,Razorpay,"Bengaluru, Karnataka","Join our analytics team as a Senior Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Mid-Senior level,PART_TIME,1,2026-04-15
sample_00179,ML Engineer,TCS,"Pune, Maharashtra","Seeking a ML Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Senior,PART_TIME,1,2026-06-12
sample_00180,Analytics Engineer,Flipkart,"Chennai, Tamil Nadu","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Mid-Senior level,FULL_TIME,1,2026-02-19
sample_00181,Analytics Engineer,TCS,"Bengaluru, Karnataka","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Director,PART_TIME,0,2026-01-23
sample_00182,Senior Data Analyst,Meesho,"Noida, Uttar Pradesh","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",8-14 LPA,Entry level,FULL_TIME,1,2026-03-25
sample_00183,Analytics Engineer,Zepto,"Delhi, Delhi","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",18-28 LPA,Director,PART_TIME,0,2026-06-04
sample_00184,Data Engineer,Zepto,"Hyderabad, Telangana","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Mid-Senior level,PART_TIME,1,2026-03-27
sample_00185,Data Scientist,Wipro,"Hyderabad, Telangana","Join our analytics team as a Data Scientist. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",12-20 LPA,Senior,FULL_TIME,0,2026-03-07
sample_00186,Data Analyst,Wipro,"Pune, Maharashtra","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Mid-Senior level,PART_TIME,0,2026-03-02
sample_00187,Data Engineer,Accenture,"Chennai, Tamil Nadu","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Entry level,FULL_TIME,0,2026-05-09
sample_00188,Senior Data Analyst,Wipro,"Mumbai, Maharashtra","Seeking a Senior Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Mid-Senior level,PART_TIME,0,2026-04-21
sample_00189,Data Analyst,Swiggy,"Delhi, Delhi","Exciting Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Entry level,PART_TIME,0,2026-02-16
sample_00190,Product Analyst,TCS,"Chennai, Tamil Nadu","We are looking for a Product Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Entry level,CONTRACT,1,2026-01-19
sample_00191,Analytics Engineer,Swiggy,"Chennai, Tamil Nadu","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Director,FULL_TIME,1,2026-04-14
sample_00192,Product Analyst,Infosys,"Hyderabad, Telangana","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Senior,CONTRACT,1,2026-04-22
sample_00193,Business Analyst,Razorpay,"Gurugram, Haryana","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Senior,FULL_TIME,0,2026-02-13
sample_00194,Data Analyst,Accenture,"Mumbai, Maharashtra","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",8-14 LPA,Senior,FULL_TIME,1,2026-06-10
sample_00195,Data Analyst,Razorpay,"Bengaluru, Karnataka","We need a Data Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",25-40 LPA,Mid-Senior level,FULL_TIME,1,2026-04-17
sample_00196,Data Engineer,TCS,"Noida, Uttar Pradesh","Exciting Data Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Director,PART_TIME,1,2025-12-31
sample_00197,BI Developer,Wipro,"Hyderabad, Telangana","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Director,CONTRACT,0,2026-02-13
sample_00198,Data Scientist,Razorpay,"Mumbai, Maharashtra","We need a Data Scientist proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",10-18 LPA,Director,CONTRACT,0,2026-03-26
sample_00199,Product Analyst,Meesho,"Chennai, Tamil Nadu","Seeking a Product Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Entry level,FULL_TIME,0,2026-03-04
sample_00200,BI Developer,Flipkart,"Mumbai, Maharashtra","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,CONTRACT,1,2025-12-17
sample_00201,Analytics Engineer,Zepto,"Bengaluru, Karnataka","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Director,CONTRACT,0,2025-12-23
sample_00202,Data Engineer,Wipro,"Chennai, Tamil Nadu","We need a Data Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Entry level,FULL_TIME,1,2025-12-31
sample_00203,Product Analyst,Razorpay,"Noida, Uttar Pradesh","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Senior,PART_TIME,1,2026-02-12
sample_00204,Senior Data Analyst,Swiggy,"Pune, Maharashtra","Exciting Senior Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Mid-Senior level,PART_TIME,0,2026-04-04
sample_00205,BI Developer,Swiggy,"Mumbai, Maharashtra","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",18-28 LPA,Entry level,CONTRACT,0,2026-04-17
sample_00206,Product Analyst,Razorpay,"Pune, Maharashtra","Exciting Product Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",8-14 LPA,Mid-Senior level,FULL_TIME,1,2026-04-08
sample_00207,BI Developer,Accenture,"Noida, Uttar Pradesh","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Mid-Senior level,CONTRACT,0,2026-05-11
sample_00208,Data Analyst,Razorpay,"Gurugram, Haryana","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Mid-Senior level,FULL_TIME,0,2026-03-07
sample_00209,Data Scientist,Accenture,"Mumbai, Maharashtra","Join our analytics team as a Data Scientist. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Director,PART_TIME,0,2026-04-23
sample_00210,Product Analyst,Infosys,"Mumbai, Maharashtra","Exciting Product Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Entry level,PART_TIME,0,2026-03-02
sample_00211,Data Engineer,Wipro,"Bengaluru, Karnataka","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Director,FULL_TIME,1,2025-12-16
sample_00212,Product Analyst,Razorpay,"Bengaluru, Karnataka","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Director,FULL_TIME,0,2026-01-02
sample_00213,Data Analyst,PhonePe,"Chennai, Tamil Nadu","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Director,FULL_TIME,1,2026-04-22
sample_00214,Data Engineer,Infosys,"Chennai, Tamil Nadu","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Senior,PART_TIME,1,2026-05-15
sample_00215,Analytics Engineer,PhonePe,"Pune, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",10-18 LPA,Senior,PART_TIME,0,2026-05-17
sample_00216,Analytics Engineer,Infosys,"Hyderabad, Telangana","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Director,CONTRACT,0,2026-02-15
sample_00217,ML Engineer,Meesho,"Hyderabad, Telangana","We need a ML Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Senior,FULL_TIME,1,2026-04-23
sample_00218,Business Analyst,Accenture,"Delhi, Delhi","We need a Business Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Mid-Senior level,FULL_TIME,0,2025-12-23
sample_00219,Data Analyst,Meesho,"Delhi, Delhi","Exciting Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",25-40 LPA,Entry level,CONTRACT,1,2026-05-20
sample_00220,Analytics Engineer,PhonePe,"Delhi, Delhi","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Entry level,CONTRACT,1,2026-02-28
sample_00221,Business Analyst,Wipro,"Noida, Uttar Pradesh","Seeking a Business Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Director,PART_TIME,1,2026-05-10
sample_00222,Business Analyst,TCS,"Pune, Maharashtra","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Director,PART_TIME,1,2026-06-10
sample_00223,Business Analyst,Meesho,"Hyderabad, Telangana","Exciting Business Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Mid-Senior level,FULL_TIME,1,2025-12-24
sample_00224,Product Analyst,Razorpay,"Chennai, Tamil Nadu","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",10-18 LPA,Director,FULL_TIME,0,2026-05-02
sample_00225,ML Engineer,Accenture,"Hyderabad, Telangana","We are looking for a ML Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Senior,CONTRACT,1,2026-01-31
sample_00226,ML Engineer,Meesho,"Mumbai, Maharashtra","Join our analytics team as a ML Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Senior,CONTRACT,0,2026-05-01
sample_00227,Senior Data Analyst,TCS,"Delhi, Delhi","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Senior,CONTRACT,0,2026-03-30
sample_00228,Product Analyst,Swiggy,"Mumbai, Maharashtra","Seeking a Product Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",8-14 LPA,Director,FULL_TIME,1,2026-03-24
sample_00229,Business Analyst,Flipkart,"Bengaluru, Karnataka","We need a Business Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Senior,PART_TIME,0,2026-05-22
sample_00230,ML Engineer,Flipkart,"Chennai, Tamil Nadu","We are looking for a ML Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",18-28 LPA,Director,PART_TIME,1,2025-12-19
sample_00231,Data Analyst,Razorpay,"Gurugram, Haryana","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Director,CONTRACT,1,2026-05-13
sample_00232,Business Analyst,Swiggy,"Gurugram, Haryana","Seeking a Business Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Entry level,FULL_TIME,0,2026-01-04
sample_00233,Senior Data Analyst,Razorpay,"Pune, Maharashtra","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Senior,CONTRACT,1,2026-05-06
sample_00234,ML Engineer,Wipro,"Pune, Maharashtra","Exciting ML Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Mid-Senior level,FULL_TIME,1,2025-12-19
sample_00235,BI Developer,Wipro,"Chennai, Tamil Nadu","Seeking a BI Developer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Mid-Senior level,PART_TIME,0,2026-04-23
sample_00236,BI Developer,PhonePe,"Noida, Uttar Pradesh","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",12-20 LPA,Mid-Senior level,FULL_TIME,0,2026-03-04
sample_00237,Data Scientist,Razorpay,"Noida, Uttar Pradesh","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Mid-Senior level,CONTRACT,1,2025-12-25
sample_00238,Business Analyst,PhonePe,"Delhi, Delhi","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Mid-Senior level,PART_TIME,1,2026-01-07
sample_00239,BI Developer,Razorpay,"Mumbai, Maharashtra","We need a BI Developer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Senior,CONTRACT,1,2026-01-21
sample_00240,Analytics Engineer,Flipkart,"Hyderabad, Telangana","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",25-40 LPA,Senior,PART_TIME,0,2026-05-26
sample_00241,Business Analyst,PhonePe,"Bengaluru, Karnataka","We need a Business Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Director,PART_TIME,0,2026-01-10
